,sensor_id,Agglomerative,DBSCAN,OPTICS,Spectral,AffinityPropagation
0,001e0610890f,1,0,-1,0,17
1,001e06109401,0,0,-1,0,0
2,001e06109416,1,0,-1,0,22
3,001e06109f62,1,0,-1,0,17
4,001e0610b9e5,3,-1,-1,1,1
5,001e0610b9e9,1,0,-1,0,22
6,001e0610ba13,1,0,-1,0,2
7,001e0610ba15,1,0,-1,0,2
8,001e0610ba46,1,0,0,0,17
9,001e0610bbe5,1,0,0,0,22
10,001e0610bbf9,0,-1,-1,0,3
11,001e0610bc10,0,-1,-1,0,4
12,001e0610bc12,1,0,-1,0,17
13,001e0610e537,1,0,-1,0,22
14,001e0610e538,1,0,-1,0,22
15,001e0610e539,1,0,-1,0,22
16,001e0610e835,1,0,-1,0,17
17,001e0610e8cb,1,0,-1,0,17
18,001e0610ee36,2,-1,-1,0,5
19,001e0610ee43,1,0,-1,0,22
20,001e0610ee5d,1,0,-1,0,17
21,001e0610eef2,1,0,-1,0,17
22,001e0610ef27,1,0,-1,0,22
23,001e0610f02f,0,-1,-1,0,6
24,001e0610f05,1,0,-1,0,2
25,001e0610f513,1,0,-1,0,22
26,001e0610f6db,1,0,0,0,17
27,001e0610f6dd,1,0,-1,0,22
28,001e0610f703,0,-1,-1,0,7
29,001e0610f732,1,0,-1,0,17
30,001e0610f8f4,1,0,0,0,22
31,001e06112e77,1,0,-1,0,17
32,001e061130f4,0,-1,-1,0,8
33,001e06113100,1,0,-1,0,22
34,001e06113107,1,0,1,0,22
35,001e06113a24,1,0,-1,0,22
36,001e06113a48,0,-1,-1,0,9
37,001e06113acb,1,0,-1,0,17
38,001e06113ace,1,0,-1,0,12
39,001e06113ad6,1,0,0,0,22
40,001e06113ad8,1,0,-1,0,17
41,001e06113cf1,1,0,-1,0,22
42,001e06113cff,1,0,-1,0,22
43,001e06113d20,0,-1,-1,0,10
44,001e06113d22,1,0,-1,0,17
45,001e06113d32,1,0,-1,0,11
46,001e06113d78,1,0,-1,0,12
47,001e06113d83,1,0,-1,0,22
48,001e06113db,1,0,-1,0,17
49,001e06113f54,1,0,0,0,17
50,001e0611441e,0,0,-1,0,13
51,001e061144be,1,0,1,0,22
52,001e061144c0,0,-1,-1,0,14
53,001e061144d6,1,-1,-1,0,15
54,001e06114500,0,0,-1,0,13
55,001e06114503,1,0,-1,0,2
56,001e0611462f,0,-1,-1,0,16
57,001e061146b,1,0,-1,0,12
58,001e061146cb,1,0,-1,0,17
59,001e061146d4,1,0,-1,0,17
60,001e061146d6,1,0,-1,0,22
61,001e06114fcf,1,0,-1,0,17
62,001e06114fd4,1,0,-1,0,22
63,001e06115365,1,0,-1,0,22
64,001e06115369,1,0,-1,0,17
65,001e0611537d,1,-1,-1,0,18
66,001e06117b41,1,0,-1,0,17
67,001e06117b44,1,0,-1,0,22
68,001e0611804d,1,0,-1,0,22
69,001e06118182,1,0,1,0,22
70,001e061181e8,1,-1,-1,0,19
71,001e06118295,1,0,1,0,22
72,001e061182a1,4,-1,-1,0,20
73,001e061182a2,1,0,-1,0,22
74,001e061182a3,1,0,-1,0,22
75,001e061182a7,1,0,-1,0,22
76,001e061183bf,1,0,-1,0,22
77,001e061183eb,1,0,-1,0,22
78,001e061183f3,1,0,-1,0,22
79,001e061183f5,0,-1,-1,0,21
80,001e06118433,1,0,1,0,22
81,001e061184a3,1,0,-1,0,23
82,001e06118501,1,0,-1,0,17
83,001e06118509,1,0,-1,0,2
84,001e0611850f,1,0,-1,0,22
85,001e0611856d,1,0,-1,0,22
